VERB_lemma	VERB_lexical	Prep_lemma	Prep_lexical	PP_head_lemma	PP_head_lexical	PP_head_POS
confide	confided	to	to	he	him	PRON
preserve	preserved	in	in	manuscript	manuscript	NOUN
make	made	by	by	Elizabeth	Elizabeth	PROPN
describe	described	by	by	Guardian	Guardian	PROPN
co-found	co-founded	in	in	@card@	1932	NUM
move	moving	in	in	@card@	1972	NUM
describe	described	at	at	graduation	graduation	NOUN
fall	fell	in	in	love	love	NOUN
publish	published	in	in	newspaper	newspaper	NOUN
publish	published	in	in	journal	journal	NOUN
lie	lay	in	in	part	part	NOUN
die	died	on	on	@card@	23	NUM
hit	Hit	for	for	cycle	cycle	NOUN
graduate	graduated	in	in	@card@	2006	NUM
transfer	transferring	to	to	University	University	PROPN
post	posted	with	with	run	runs	NOUN
draft	drafted	by	by	Pirates	Pirates	PROPN
advance	advancing	to	to	Marauders	Marauders	PROPN
promote	promoted	to	to	Pirates	Pirates	PROPN
trade	traded	to	to	Sox	Sox	PROPN
call	called	on	on	6	6	NUM
win	won	over	over	Cardinals	Cardinals	PROPN
drive	drove	in	in	bottom	bottom	NOUN
start	starting	at	at	base	base	NOUN
go	went	with	with	double	doubles	NOUN
appear	appear	in	in	film	films	NOUN
convert	converted	to	to	Catholicism	Catholicism	NOUN
live	lived	with	with	mother	mother	NOUN
return	returned	to	to	England	England	PROPN
debut	debuted	at	at	Comédie-Française	Comédie-Française	NOUN
appear	appearing	in	in	film	films	NOUN
award	awarded	with	with	Award	Award	PROPN
work	worked	behind	behind	camera	camera	NOUN
respond	responded	to	to	call	call	NOUN
graduate	graduated	from	from	University	University	PROPN
die	died	in	in	Madrid	Madrid	PROPN
account	account	for	for	it	it	PRON
focus	focuses	on	on	message	message	NOUN
join	joined	in	in	diocese	diocese	NOUN
stay	stayed	with	with	Pachomius	Pachomius	PROPN
preach	preached	of	of	virtue	virtues	NOUN
welcome	welcomed	by	by	Pachomius	Pachomius	PROPN
integrate	integrated	into	into	community	community	NOUN
maintain	maintained	as	as	figure	figure	NOUN
preach	preach	to	to	brother	brothers	NOUN
assist	assisting	at	at	Tabennese	Tabennese	PROPN
get	gets	on	on	nerve	nerves	NOUN
fall	fell	onto	onto	stone	stones	NOUN
gather	gathering	in	in	stem	stems	NOUN
fall	fell	onto	onto	deck	deck	NOUN
stretch	stretching	from	from	delta	delta	NOUN
play	play	in	in	courtyard	courtyard	NOUN
go	go	against	against	kid	kids	NOUN
look	look	at	at	hand	hands	NOUN
struggle	struggled	with	with	word	words	NOUN
look	looked	at	at	me	me	PRON
hide	hiding	in	in	sink	sink	NOUN
come	come	at	at	me	me	PRON
sell	sold	in	in	summer	summer	NOUN
come	came	to	to	they	them	PRON
stand	stood	before	before	Rachel	Rachel	PROPN
talk	talked	to	to	she	her	PRON
talk	talked	about	about	she	her	PRON
hang	hung	in	in	tatter	tatters	NOUN
look	looked	at	at	I	me	PRON
publish	published	in	in	@card@	1934	NUM
talk	talking	as	as	usual	usual	ADJ
begin	begins	before	before	Easter	Easter	PROPN
go	go	with	with	he	him	PRON
begin	began	at	at	Helsinki	Helsinki	PROPN
look	look	at	at	they	them	PRON
be	's	in	in	science	science	NOUN
dip	dipped	in	in	solution	solution	NOUN
put	put	on	on	diet	diet	NOUN
speak	spoke	with	with	William	William	PROPN
rely	rely	on	on	Internet	internet	NOUN
sit	sat	with	with	Michael	Michael	PROPN
begin	began	at	at	level	level	NOUN
have	had	in	in	States	States	PROPN
coin	coined	in	in	column	column	NOUN
make	made	by	by	Senator	Senator	PROPN
quote	quoted	by	by	Press	Press	PROPN
display	displays	as	as	product	product	NOUN
serve	served	at	at	establishment	establishment	NOUN
return	returned	from	from	Antarctica	Antarctica	PROPN
look	looked	at	at	slide	slides	NOUN
move	moving	towards	towards	Internet	Internet	PROPN
produce	produce	on	on	topic	topic	NOUN
televise	televised	in	in	States	States	PROPN
show	shown	in	in	States	States	PROPN
retire	retired	from	from	game	game	NOUN
catch	caught	with	with	she	her	PRON
compete	compete	against	against	other	other	ADJ
take	took	over	over	there	there	PRON
have	had	with	with	reader	readers	NOUN
send	sent	to	to	I	me	PRON
come	came	to	to	I	me	PRON
whittle	whittle	on	on	Monday	Monday	PROPN
bear	born	in	in	@card@	1958	NUM
see	seen	in	in	literature	literature	NOUN
interview	interviewed	for	for	interview	Interview	PROPN
conduct	conducted	on	on	Irc	IRC	PROPN
collect	collected	by	by	U2	U2	PROPN
search	search	over	over	collector	collector	NOUN
capture	captured	by	by	stardust	Stardust	PROPN
arrest	arrested	at	at	school	school	NOUN
receive	received	at	at	headquarters	headquarters	NOUN
bring	brought	to	to	school	school	NOUN
meet	met	with	with	Mohamed	Mohamed	PROPN
use	used	in	in	message	messages	NOUN
come	come	to	to	company	company	NOUN
arrive	arrive	in	in	Mecca	Mecca	PROPN
hold	held	on	on	Sunday	Sunday	PROPN
defeat	defeated	in	in	constituency	constituency	NOUN
resign	resigned	from	from	leadership	leadership	NOUN
defeat	defeated	by	by	vote	votes	NOUN
increase	increased	from	from	9	9	NUM
close	closed	at	at	@card@	22:30	NUM
plan	planned	as	as	part	part	NOUN
take	take	in	in	Christchurch	Christchurch	PROPN
engrave	engraved	at	at	option	option	NOUN
hold	held	from	from	@card@	20	NUM
launch	launched	on	on	Wednesday	Wednesday	PROPN
wage	waging	for	for	year	years	NOUN
increase	increased	to	to	number	number	NOUN
be	’re	in	in	@card@	2011	NUM
account	accounted	for	for	percent	percent	NOUN
work	working	from	from	6:00am	6:00am	NUM
task	tasked	with	with	removal	removal	NOUN
leave	left	after	after	confrontation	confrontation	NOUN
report	reported	in	in	attack	attacks	NOUN
broadcast	broadcast	from	from	loudspeaker	loudspeakers	NOUN
buy	bought	from	from	vendor	vendors	NOUN
kill	killed	in	in	stampede	stampede	NOUN
happen	happened	at	at	Bridge	Bridge	PROPN
pay	pay	in	in	arrears	arrears	NOUN
advance	advanced	by	by	municipality	Municipality	PROPN
donate	donated	to	to	USI	USI	PROPN
run	run	from	from	@card@	23	NUM
continue	continued	as	as	passion	passion	NOUN
fly	flies	in	in	morning	morning	NOUN
rank	ranked	as	as	one	one	NUM
lose	lose	to	to	area	areas	NOUN
rise	rises	at	at	mouth	mouth	NOUN
purchase	purchased	at	at	Airport	Airport	PROPN
do	done	by	by	post	post	NOUN
apply	applying	to	to	Consulate	Consulate	PROPN
apply	apply	in	in	person	person	NOUN
stay	stay	with	with	friend	friends	NOUN
dwarf	dwarfed	by	by	highrise	highrise	NOUN
know	known	as	as	Gwadloup	Gwadloup	X
try	try	for	for	inclusive	inclusive	ADJ
vary	very	from	from	season	season	NOUN
create	created	from	from	scratch	scratch	NOUN
translate	translates	to	to	boat	boat	NOUN
start	started	with	with	era	era	NOUN
be	is	to	to	Łódź	Łódź	PROPN
found	founded	by	by	conquistador	conquistadors	NOUN
inspire	inspired	by	by	Champs-Élysées	Champs-Élysées	PROPN
drift	drift	into	into	Mérida	Mérida	PROPN
exploit	exploited	for	for	agriculture	agriculture	NOUN
view	viewed	in	in	city	city	NOUN
make	make	from	from	sunset	sunset	NOUN
use	used	for	for	discourse	discourse	NOUN
number	numbered	from	from	2	2	NUM
barbeque	barbeque	on	on	beach	beach	NOUN
go	go	from	from	October	October	PROPN
occur	occurs	in	in	July	July	PROPN
lie	lies	in	in	Oklahoma	Oklahoma	PROPN
slant	slanted	at	at	angle	angle	NOUN
follow	follows	from	from	Tulsa	Tulsa	PROPN
continue	continues	through	through	Arrow	Arrow	PROPN
borrow	borrow	for	for	free	free	ADJ
situate	situated	in	in	Yorkshire	Yorkshire	PROPN
know	known	as	as	Eboracum	Eboracum	PROPN
found	founded	on	on	River	River	PROPN
leave	leave	at	at	@card@	8	NUM
begin	began	in	in	court	courts	NOUN
spend	spent	on	on	farm	farm	NOUN
sing	sing	on	on	floor	floor	NOUN
look	look	at	at	yourself	yourself	PRON
go	going	from	from	floor	floor	NOUN
flirt	flirt	with	with	guy	guy	NOUN
display	displayed	in	in	box	box	NOUN
expose	expose	to	to	it	it	PRON
base	based	on	on	alphabet	Alphabet	NOUN
communicate	communicate	to	to	they	them	PRON
write	write	from	from	left	left	NOUN
aim	aiming	before	before	impact	impact	NOUN
take	take	for	for	walk	walk	NOUN
win	wins	for	for	team	team	NOUN
hit	hitting	in	in	air	air	NOUN
throw	throw	on	on	line	line	NOUN
refer	referred	to	to	quinoa	quinoa	NOUN
gain	gaining	in	in	popularity	popularity	NOUN
place	Place	to	to	part	part	NOUN
rinse	Rinse	in	in	sieve	sieve	NOUN
see	See	in	in	method	Method	NOUN
rinse	Rinse	in	in	seive	seive	NOUN
bring	bring	to	to	boil	boil	NOUN
cook	Cook	in	in	oven	oven	NOUN
set	set	to	to	ANSI-92	ANSI-92	PROPN
transform	transforming	from	from	format	format	NOUN
apply	applied	to	to	document	document	NOUN
transform	transform	to	to	format	format	NOUN
export	export	as	as	document	document	NOUN
export	export	from	from	Access	Access	PROPN
copy	Copying	to	to	program	program	NOUN
display	displayed	in	in	view	view	NOUN
convert	Converting	from	from	format	format	NOUN
create	created	under	under	mode	mode	NOUN
change	changing	of	of	mode	mode	NOUN
search	searches	for	for	key	key	NOUN
save	save	in	in	project	project	NOUN
place	placed	as	as	control	controls	NOUN
place	placed	as	as	control	controls	NOUN
climb	climbed	from	from	bus	bus	NOUN
think	thought	for	for	moment	moment	NOUN
wait	waiting	for	for	you	you	PRON
be	was	beyond	beyond	he	him	PRON
loom	loomed	around	around	he	him	PRON
look	looking	at	at	thing	things	NOUN
sit	sitting	on	on	sofa	sofa	NOUN
move	moving	from	from	place	place	NOUN
break	broken	into	into	submovement	submovements	NOUN
rattle	rattled	through	through	park	park	NOUN
pore	poring	over	over	object	object	NOUN
return	returned	to	to	hotel	hotel	NOUN
thrash	thrashing	through	through	bush	bushes	NOUN
eat	eat	at	at	shop	Shop	NOUN
return	return	to	to	hotel	hotel	NOUN
accept	accept	as	as	article	article	NOUN
walk	walk	through	through	street	streets	NOUN
backtrack	backtracked	in	in	mind	mind	NOUN
tie	tied	by	by	thread	thread	NOUN
appeal	appealed	to	to	Quinn	Quinn	PROPN
speak	speak	to	to	he	him	PRON
clatter	clattering	of	of	key	keys	NOUN
run	running	towards	towards	he	him	PRON
pray	prayed	to	to	he	himself	PRON
spin	spinning	around	around	room	room	NOUN
match	matched	in	in	half	half	NOUN
communicate	communicate	with	with	they	them	PRON
return	returns	to	to	seat	seat	NOUN
give	giving	to	to	reactionary	reactionaries	NOUN
make	made	by	by	Amin	Amin	PROPN
interpret	interprets	before	before	eye	eyes	NOUN
lead	leads	from	from	Gai-hinnom	Gai-Hinnom	PROPN
act	acts	on	on	nerve	nerves	NOUN
translate	translated	into	into	english	English	NOUN
go	went	according	according	Copeland	Copeland	PROPN
pass	passed	to	to	world	world	NOUN
accept	accepted	at	at	value	value	NOUN
speak	speak	of	of	this	this	PRON
place	place	after	after	disaster	disaster	NOUN
collect	collected	in	in	country	country	NOUN
come	come	down	down	slope	slope	NOUN
die	died	of	of	cold	cold	ADJ
recite	recited	to	to	convict	convicts	NOUN
come	came	to	to	Israel	Israel	PROPN
move	moved	into	into	port	port	NOUN
move	moved	into	into	berth	berth	NOUN
pump	pumped	into	into	tank	tanks	NOUN
create	created	in	in	Israel	Israel	PROPN
be	are	on	on	display	display	NOUN
say	say	to	to	friend	friends	NOUN
think	think	of	of	they	themselves	PRON
swing	swung	to	to	anchor	anchor	NOUN
stretch	stretched	before	before	we	us	PRON
strike	stricken	to	to	death	death	NOUN
rest	rested	at	at	decline	decline	NOUN
look	looked	at	at	stream	stream	NOUN
float	floated	on	on	ebb	ebb	NOUN
run	run	across	across	Gaul	Gauls	NOUN
build	build	by	by	hundred	hundred	NUM
go	going	up	up	river	river	NOUN
lose	lost	in	in	wilderness	wilderness	NOUN
go	went	in	in	night	night	NOUN
go	went	up	up	river	river	NOUN
return	returned	to	to	London	London	PROPN
fill	filled	since	since	boyhood	boyhood	NOUN
look	looked	at	at	map	map	NOUN
go	go	to	to	piece	pieces	NOUN
call	called	in	in	port	port	NOUN
run	ran	like	like	line	line	NOUN
cluster	clustered	inside	inside	surf	surf	NOUN
die	dying	of	of	fever	fever	NOUN
call	called	at	at	place	places	NOUN
writhe	writhe	at	at	we	us	PRON
drown	drowned	at	at	time	times	NOUN
lie	lying	on	on	back	back	NOUN
hoist	hoisted	to	to	shoulder	shoulder	NOUN
take	take	into	into	partnership	partnership	NOUN
stroll	stroll	into	into	shade	shade	NOUN
tear	tore	of	of	she	her	PRON
come	came	at	at	end	end	NOUN
annoy	annoyed	at	at	meal-time	meal-times	NOUN
hear	heard	of	of	Kurtz	Kurtz	PROPN
blow	blew	through	through	it	it	PRON
intrigue	intriguing	against	against	each	each	PRON
eliminate	eliminated	over	over	year	years	NOUN
fix	fix	for	for	quality	quality	NOUN
entitle	entitled	to	to	treatment	treatment	NOUN
add	added	to	to	agenda	agenda	NOUN
call	called	as	as	supplementary	supplementary	ADJ
happen	happens	to	to	wine	wine	NOUN
reach	reach	by	by	sea	sea	NOUN
involve	involved	in	in	Norway	Norway	PROPN
come	come	into	into	question	question	NOUN
agree	agree	with	with	he	him	PRON
cycle	cycled	for	for	mile	miles	NOUN
take	took	by	by	biceps	biceps	NOUN
lay	laid	under	under	tree	trees	NOUN
collect	collected	like	like	water	water	NOUN
seem	seemed	to	to	he	him	PRON
give	given	in	in	country	countries	NOUN
strike	struck	into	into	cabin	cabin	NOUN
look	look	at	at	angle	angle	NOUN
spray	sprayed	over	over	head	heads	NOUN
emerge	emerged	among	among	other	others	PRON
walk	walking	across	across	tarmac	tarmac	NOUN
fall	fallen	from	from	light	light	NOUN
make	make	of	of	it	it	PRON
flatten	flattened	like	like	starfish	starfish	NOUN
retail	retailing	in	in	right	right	ADJ
pass	passing	for	for	moment	moment	NOUN
bring	brought	in	in	boycott	boycott	NOUN
lead	led	up	up	door	door	NOUN
grow	growing	in	in	neck	neck	NOUN
force	forced	by	by	Labrador	Labrador	NOUN
be	was	at	at	door	door	NOUN
be	was	in	in	stadium	stadium	NOUN
give	giving	at	at	half-a-crown	half-a-crown	NOUN
queue	queueing	through	through	ceremony	ceremony	NOUN
make	make	of	of	they	themselves	PRON
accept	accepted	with	with	friendliness	friendliness	NOUN
draw	drawn	from	from	dancer	dancers	NOUN
make	made	of	of	classroom	classroom	NOUN
talk	talk	to	to	somebody	somebody	PRON
brush	brushed	off	off	forehead	forehead	NOUN
be	be	in	in	kitchen	kitchen	NOUN
go	went	to	to	ceremony	ceremony	NOUN
come	come	of	of	will	will	NOUN
be	was	in	in	discussion	discussion	NOUN
bang	banging	on	on	door	door	NOUN
come	come	to	to	life	life	NOUN
sit	sitting	at	at	table	table	NOUN
turn	turning	on	on	she	her	PRON
direct	directing	at	at	wife	wife	NOUN
see	see	in	in	film	films	NOUN
go	went	into	into	town	town	NOUN
stand	stood	on	on	patch	patch	NOUN
stop	stop	for	for	one	one	PRON
get	got	into	into	car	car	NOUN
sit	sat	among	among	people	people	NOUN
roll	rolled	into	into	it	itself	PRON
lie	lying	beneath	beneath	tree	trees	NOUN
crop	cropping	among	among	china	china	NOUN
break	broken	over	over	breakfast	breakfast	NOUN
wake	woken	in	in	hour	hours	NOUN
stare	stared	from	from	uncle	uncle	NOUN
lock	locked	in	in	cupboard	cupboard	NOUN
go	went	to	to	school	school	NOUN
talk	talking	of	of	nothing	nothing	PRON
get	get	in	in	compliment	compliments	NOUN
take	take	to	to	lounge	lounge	NOUN
send	sending	to	to	Ron	Ron	PROPN
lock	locking	in	in	cupboard	cupboard	NOUN
give	give	for	for	message	message	NOUN
slip	slipped	through	through	clutch	clutches	NOUN
aim	aimed	at	at	head	head	NOUN
cross	crossed	to	to	bedroom	bedroom	NOUN
look	looked	like	like	pillowcase	pillowcase	NOUN
sink	sinking	into	into	chair	chair	NOUN
goggle	goggled	through	through	bar	bars	NOUN
goggle	goggling	through	through	bar	bars	NOUN
grin	Grinning	at	at	Harry	Harry	PROPN
be	were	in	in	seat	seat	NOUN
climb	climbed	through	through	window	window	NOUN
pass	passing	out	out	window	window	NOUN
carry	carried	through	through	room	room	NOUN
slide	slid	out	out	window	window	NOUN
grin	grinning	from	from	ear	ear	NOUN
glide	glide	alongside	alongside	they	them	PRON
look	looked	for	for	time	time	NOUN
come	came	to	to	halt	halt	NOUN
stare	staring	from	from	face	face	NOUN
write	written	to	to	Ron	Ron	PROPN
write	Written	across	across	it	it	PRON
speak	spoken	through	through	mouthful	mouthful	NOUN
follow	followed	along	along	alleyway	alleyway	NOUN
take	taking	to	to	cauldron	Cauldron	NOUN
wrap	wrapped	from	from	head	head	NOUN
work	worked	as	as	magnet	magnet	NOUN
hang	hanging	in	in	torture	torture	NOUN
skewer	skewering	in	in	pair	pairs	NOUN
rock	rocked	on	on	side	side	NOUN
press	pressed	in	in	agony	agony	NOUN
come	came	through	through	door	door	NOUN
stay	stay	with	with	grandmother	grandmother	NOUN
stare	stare	at	at	I	me	PRON
pass	passed	from	from	hand	hand	NOUN
stand	stand	in	in	corner	corner	NOUN
sound	sounded	like	like	fluff	fluff	NOUN
broil	broiled	for	for	we	us	PRON
go	go	with	with	they	them	PRON
appear	appeared	in	in	room	room	NOUN
hang	hanging	in	in	spear	spears	NOUN
start	started	at	at	end	end	NOUN
fling	flung	after	after	I	me	PRON
struggle	struggled	up	up	step	steps	NOUN
follow	followed	on	on	foot	foot	NOUN
lie	lie	beside	beside	she	her	PRON
look	looking	at	at	she	her	PRON
leave	left	in	in	room	room	NOUN
move	moved	in	in	angle	angles	NOUN
refer	refer	to	to	notice	notice	NOUN
receive	received	from	from	you	You	PRON
offer	offers	to	to	recipient	recipient	NOUN
grant	granted	to	to	you	You	PRON
offer	offers	to	to	recipient	recipient	NOUN
grant	granted	to	to	you	You	PRON
make	made	upon	upon	request	request	NOUN
accuse	accused	of	of	activity	activity	NOUN
include	included	in	in	agenda	agenda	NOUN
refer	referred	to	to	intervention	intervention	NOUN
appear	appeared	in	in	newspaper	newspaper	NOUN
go	going	from	from	parliament	Parliament	NOUN
include	included	among	among	request	requests	NOUN
approve	approved	by	by	conference	Conference	NOUN
abide	abide	by	by	ruling	ruling	NOUN
continue	continued	for	for	month	months	NOUN
stretch	stretched	in	in	EU	EU	PROPN
transpose	transposed	by	by	state	States	NOUN
provide	provide	with	with	tool	tool	NOUN
dispose	dispose	of	of	cargo	cargo	NOUN
highlight	highlighted	on	on	basis	basis	NOUN
advise	advise	in	in	manner	manner	NOUN
enter	entered	into	into	force	force	NOUN
link	linked	to	to	completion	completion	NOUN
support	supported	by	by	committee	committee	NOUN
put	put	into	into	service	service	NOUN
speak	spoke	to	to	us	us	PRON
regard	regarded	as	as	issue	issue	NOUN
take	taken	by	by	committee	Committee	NOUN
enter	enter	into	into	dialogue	dialogue	NOUN
adopt	adopted	by	by	parliament	Parliament	NOUN
reflect	reflected	in	in	the	the	DET
make	made	to	to	report	reports	NOUN
lose	losing	to	to	US	US	PROPN
leave	left	to	to	interpretation	interpretation	NOUN
sit	sitting	in	in	office	offices	NOUN
lay	laid	by	by	leaders	leaders	NOUN
support	supported	by	by	parliament	Parliament	NOUN
disagree	disagreed	with	with	rapporteur	rapporteur	NOUN
add	added	to	to	regulation	Regulation	NOUN
ensure	ensuring	by	by	operator	operators	NOUN
send	sent	to	to	you	you	PRON
sign	sign	for	for	one	one	PRON
log	log	to	to	account	account	NOUN
add	add	to	to	account	account	NOUN
generate	generated	in	in	revenue	revenue	NOUN
direct	directed	to	to	website	website	NOUN
combine	Combining	on	on	Facebook	Facebook	PROPN
see	see	from	from	friend	friends	NOUN
learn	Learn	about	about	button	button	NOUN
suggest	suggested	by	by	commission	Commission	NOUN
intend	intended	for	for	use	use	NOUN
extend	extended	to	to	sector	sectors	NOUN
run	run	from	from	1	1	NUM
send	send	to	to	parliament	Parliament	NOUN
set	set	for	for	protection	protection	NOUN
carry	carried	until	until	March	March	PROPN
give	given	in	in	instance	instance	NOUN
come	came	from	from	country	countries	NOUN
proclaim	Proclaims	as	as	standard	standard	NOUN
entitle	entitled	to	to	right	rights	NOUN
entitle	entitled	without	without	discrimination	discrimination	NOUN
constitute	constitute	under	under	law	law	NOUN
entitle	entitled	to	to	right	rights	NOUN
entitle	entitled	to	to	realization	realization	NOUN
determine	determined	by	by	law	law	NOUN
be	's	in	in	game	game	NOUN
happen	happens	with	with	PCB	PCBs	PROPN
double	doubling	to	to	$	$	SYM
grow	grow	to	to	GDP	GDP	PROPN
compete	compete	with	with	other	others	PRON
look	look	with	with	enthusiasm	enthusiasm	NOUN
launch	launched	in	in	Kyiv	Kyiv	PROPN
outmaneuver	outmaneuvered	by	by	Russia	Russia	PROPN
establish	established	in	in	Ukraine	Ukraine	PROPN
invest	invest	in	in	company	companies	NOUN
range	ranging	from	from	unrest	unrest	NOUN
start	started	in	in	1980	1980	NUM
emerge	emerged	from	from	crisis	crisis	NOUN
become	become	in	in	country	countries	NOUN
lead	lead	to	to	increase	increase	NOUN
connect	connected	with	with	other	other	ADJ
lock	lock	into	into	cycle	cycle	NOUN
provide	provides	to	to	offspring	offspring	NOUN
fall	fall	by	by	%	%	SYM
soar	soared	from	from	%	%	SYM
serve	served	as	as	foundation	foundation	NOUN
compare	compared	to	to	average	average	NOUN
account	accounts	for	for	%	%	SYM
grow	grows	on	on	plot	plot	NOUN
vary	vary	from	from	country	country	NOUN
deliver	deliver	at	at	notice	notice	NOUN
work	worked	at	at	IMF	IMF	PROPN
address	addressed	to	to	leader	leaders	NOUN
agree	agreed	in	in	form	form	NOUN
sap	sapped	through	through	plunder	plunder	NOUN
recognize	recognized	as	as	such	such	ADJ
stand	stand	to	to	bully	bully	NOUN
serve	serve	as	as	cry	cry	NOUN
set	set	for	for	Paris	Paris	PROPN
come	came	from	from	family	family	NOUN
keep	kept	at	at	distance	distance	NOUN
work	worked	from	from	boyhood	boyhood	NOUN
send	sent	to	to	tutor	tutors	NOUN
live	live	in	in	capital	capital	NOUN
traveled	traveled	to	to	Sardinia	Sardinia	PROPN
reprocess	reprocessing	from	from	mine	mines	NOUN
publish	published	in	in	lifetime	lifetime	NOUN
stay	stayed	with	with	family	family	NOUN
provide	provided	with	with	name	name	NOUN
trap	trapped	by	by	Abbé	Abbé	PROPN
gain	gained	by	by	author	author	NOUN
work	work	for	for	hour	hours	NOUN
work	worked	for	for	hour	hours	NOUN
find	found	for	for	she	her	PRON
visit	visited	in	in	St	St.	PROPN
drive	drove	from	from	estate	estate	NOUN
talk	talk	of	of	marriage	marriage	NOUN
arrive	arrived	in	in	capital	capital	NOUN
serve	served	as	as	pallbearer	pallbearer	NOUN
bury	buried	at	at	Cimetière	Cimetière	X
write	wrote	with	with	sadness	sadness	NOUN
regard	regarded	as	as	writer	writer	NOUN
begin	began	in	in	London	London	PROPN
raise	raised	to	to	peak	peak	NOUN
publish	published	in	in	edition	editions	NOUN
study	studied	in	in	context	contexts	NOUN
charter	chartered	in	in	1553	1553	NUM
vary	varied	in	in	quality	quality	NOUN
died	died	of	of	cause	causes	NOUN
mention	mentioned	as	as	part	part	NOUN
employ	employed	as	as	schoolmaster	schoolmaster	NOUN
begin	begun	from	from	mid-1580s	mid-1580s	PROPN
publish	published	in	in	edition	editions	NOUN
act	act	in	in	play	plays	NOUN
name	names	on	on	list	lists	NOUN
take	taken	by	by	scholar	scholars	NOUN
divide	divided	between	between	London	London	PROPN
move	moved	to	to	Southwark	Southwark	PROPN
purchase	purchasing	in	in	1608	1608	NUM
bring	brought	in	in	Stratford	Stratford	PROPN
rage	raged	in	in	London	London	PROPN
attribute	attributed	to	to	he	him	PRON
commemorate	commemorated	in	in	statue	statues	NOUN
collaborate	collaborated	with	with	other	others	PRON
revise	revised	by	by	writer	writers	NOUN
write	written	in	in	1590	1590	NUM
give	give	in	in	Mid-1590s	Mid-1590s	PROPN
see	seen	as	as	evidence	evidence	NOUN
construct	construct	on	on	bank	bank	NOUN
build	built	by	by	actor	actors	NOUN
perform	performed	at	at	court	court	NOUN
perform	performed	at	at	theatre	Theatre	NOUN
play	played	in	in	Romeo	Romeo	PROPN
replace	replaced	around	around	turn	turn	NOUN
print	printed	in	in	edition	edition	NOUN
write	wrote	throughout	throughout	career	career	NOUN
appear	appeared	in	in	pilgrim	Pilgrim	NOUN
refer	referred	in	in	1598	1598	NUM
have	has	in	in	declaration	declaration	NOUN
finish	finish	at	at	end	end	NOUN
survive	survive	without	without	loss	loss	NOUN
view	viewed	as	as	topic	topic	NOUN
draw	drew	on	on	psychology	psychology	NOUN
single	singled	from	from	group	group	NOUN
respond	respond	to	to	Shakespeare	Shakespeare	PROPN
produce	produced	as	as	spectacle	spectacles	NOUN
find	found	in	in	1757	1757	NUM
find	find	for	for	catholicism	Catholicism	NOUN
